Age,Income,Gaming_Frequency,Aesthetic,Spend,Yearly_Spend,Price_Sensitivity,Engagement,Interest
18-22,<20k,Weekly,2,1500,30000,Medium,High,Interested
18-22,50k-1L,Weekly,4,5000,10000,Low,Medium,Interested
18-22,20-50k,Weekly,1,500,30000,Medium,Low,Not Interested
28-35,20-50k,Weekly,3,5000,2000,Medium,Low,Not Interested
18-22,20-50k,Daily,2,1500,80000,Low,High,Not Interested
36+,50k-1L,Daily,2,5000,30000,Low,High,Interested
18-22,20-50k,Occasional,2,5000,2000,Medium,Medium,Interested
36+,20-50k,Weekly,4,1500,2000,Low,High,Interested
36+,20-50k,Weekly,1,3000,80000,Low,Medium,Interested
36+,<20k,Daily,5,1500,80000,Low,High,Interested
28-35,50k-1L,Daily,1,3000,2000,Low,High,Interested
28-35,50k-1L,Occasional,4,1500,2000,Medium,High,Not Interested
28-35,20-50k,Weekly,2,1500,30000,Low,Low,Not Interested
18-22,50k-1L,Weekly,3,1500,2000,High,Medium,Not Interested
36+,50k-1L,Daily,2,500,2000,Low,Medium,Interested
28-35,50k-1L,Weekly,5,3000,30000,High,Low,Not Interested
28-35,50k-1L,Daily,3,500,10000,Low,Low,Not Interested
18-22,20-50k,Weekly,2,1500,30000,High,Low,Not Interested
28-35,20-50k,Daily,3,5000,30000,High,Medium,Interested
18-22,20-50k,Daily,1,500,80000,Low,High,Interested
23-27,50k-1L,Weekly,4,3000,30000,Low,Low,Not Interested
28-35,<20k,Occasional,2,1500,2000,Low,Low,Interested
23-27,50k-1L,Daily,5,500,2000,High,Low,Interested
18-22,50k-1L,Occasional,1,5000,2000,Medium,High,Interested
36+,<20k,Daily,2,500,10000,Medium,High,Interested
28-35,50k-1L,Daily,1,3000,2000,Low,Low,Not Interested
18-22,<20k,Daily,5,500,10000,Medium,High,Interested
36+,20-50k,Daily,2,5000,2000,Medium,Low,Not Interested
36+,50k-1L,Weekly,5,5000,30000,Low,High,Not Interested
23-27,<20k,Daily,3,3000,80000,High,Medium,Interested
18-22,50k-1L,Daily,5,5000,2000,Low,Medium,Interested
36+,50k-1L,Occasional,3,1500,10000,Medium,High,Interested
28-35,20-50k,Daily,2,5000,10000,High,Medium,Not Interested
28-35,<20k,Weekly,3,1500,80000,Medium,Medium,Not Interested
23-27,<20k,Daily,2,500,2000,High,Medium,Not Interested
36+,20-50k,Weekly,2,1500,30000,Medium,Low,Not Interested
18-22,1L+,Daily,4,1500,2000,Low,High,Interested
28-35,20-50k,Daily,2,500,2000,Medium,High,Not Interested
36+,<20k,Daily,3,5000,80000,Medium,High,Not Interested
36+,20-50k,Daily,4,1500,2000,High,Medium,Interested
23-27,20-50k,Daily,4,5000,30000,Medium,Low,Interested
28-35,50k-1L,Weekly,2,500,10000,Low,High,Not Interested
28-35,<20k,Occasional,5,3000,80000,Low,Medium,Not Interested
18-22,50k-1L,Occasional,5,5000,30000,Low,Low,Not Interested
28-35,20-50k,Weekly,4,5000,10000,High,Low,Interested
18-22,1L+,Daily,2,3000,80000,High,High,Not Interested
28-35,20-50k,Daily,5,3000,80000,Medium,High,Interested
23-27,20-50k,Daily,2,500,10000,Medium,Medium,Interested
28-35,1L+,Daily,2,5000,10000,Medium,High,Interested
18-22,<20k,Weekly,4,5000,30000,High,Medium,Not Interested
18-22,1L+,Weekly,4,500,2000,High,Low,Not Interested
23-27,20-50k,Daily,1,5000,2000,Medium,Low,Not Interested
28-35,<20k,Daily,5,1500,2000,High,Low,Interested
28-35,20-50k,Occasional,5,1500,2000,High,Low,Not Interested
23-27,50k-1L,Weekly,5,1500,2000,Low,High,Not Interested
28-35,<20k,Daily,3,5000,30000,Low,High,Interested
28-35,20-50k,Occasional,2,1500,80000,Medium,Medium,Interested
18-22,20-50k,Occasional,4,1500,30000,Medium,Medium,Not Interested
28-35,20-50k,Daily,5,500,30000,Low,Medium,Interested
28-35,<20k,Daily,1,500,30000,High,Medium,Not Interested
23-27,50k-1L,Weekly,5,3000,80000,Medium,Medium,Interested
23-27,1L+,Occasional,2,3000,30000,Medium,Low,Not Interested
36+,1L+,Occasional,2,3000,30000,Medium,Low,Interested
18-22,50k-1L,Daily,4,3000,80000,High,Low,Interested
28-35,<20k,Daily,3,500,30000,Low,Medium,Not Interested
28-35,50k-1L,Weekly,4,500,2000,Medium,Low,Interested
36+,<20k,Weekly,5,500,10000,Low,Low,Not Interested
28-35,<20k,Daily,1,1500,30000,Low,Low,Interested
18-22,20-50k,Occasional,4,1500,10000,High,Low,Not Interested
36+,20-50k,Weekly,3,3000,30000,High,High,Not Interested
18-22,50k-1L,Occasional,4,1500,30000,High,Medium,Interested
36+,20-50k,Occasional,2,5000,2000,High,Medium,Interested
36+,20-50k,Weekly,5,500,80000,High,High,Interested
23-27,<20k,Daily,5,3000,10000,High,Low,Interested
18-22,1L+,Weekly,5,3000,80000,Medium,Low,Interested
28-35,20-50k,Daily,5,5000,2000,Low,Low,Interested
28-35,20-50k,Weekly,5,1500,2000,High,Medium,Not Interested
18-22,<20k,Daily,5,3000,10000,Medium,Medium,Interested
28-35,50k-1L,Weekly,1,1500,80000,Low,Medium,Interested
28-35,20-50k,Daily,3,1500,2000,High,Medium,Interested
18-22,<20k,Daily,5,5000,30000,High,Medium,Interested
36+,<20k,Daily,3,3000,30000,Medium,High,Not Interested
18-22,20-50k,Daily,5,1500,30000,Low,Medium,Interested
36+,20-50k,Weekly,4,1500,80000,High,Low,Interested
28-35,<20k,Weekly,5,5000,30000,Low,Medium,Not Interested
28-35,1L+,Weekly,2,5000,30000,Medium,High,Interested
28-35,<20k,Daily,1,1500,2000,High,Low,Interested
23-27,20-50k,Daily,4,5000,2000,Low,High,Interested
36+,1L+,Daily,4,1500,30000,Medium,Low,Interested
23-27,20-50k,Daily,2,3000,30000,Medium,Medium,Interested
23-27,20-50k,Occasional,5,500,2000,High,High,Not Interested
18-22,20-50k,Daily,1,5000,10000,Low,Low,Interested
23-27,<20k,Daily,4,500,80000,High,Medium,Interested
18-22,1L+,Daily,1,1500,80000,High,Low,Not Interested
18-22,20-50k,Daily,4,1500,2000,Low,High,Interested
23-27,50k-1L,Weekly,5,1500,80000,Low,High,Interested
36+,<20k,Weekly,4,500,2000,Low,High,Not Interested
36+,<20k,Daily,4,1500,2000,Medium,High,Interested
36+,<20k,Daily,3,5000,2000,Medium,Medium,Not Interested
36+,20-50k,Daily,5,3000,2000,Low,Low,Interested
36+,20-50k,Daily,2,3000,10000,Medium,Medium,Not Interested
23-27,50k-1L,Daily,2,5000,30000,High,High,Interested
23-27,20-50k,Occasional,5,3000,30000,Low,Low,Not Interested
28-35,1L+,Weekly,2,500,10000,High,High,Interested
36+,<20k,Weekly,5,1500,80000,Low,Medium,Interested
23-27,50k-1L,Daily,2,1500,80000,High,Medium,Not Interested
28-35,50k-1L,Daily,3,1500,30000,Low,Medium,Interested
36+,50k-1L,Weekly,2,500,80000,High,Low,Interested
18-22,50k-1L,Weekly,4,500,30000,Low,Low,Not Interested
28-35,50k-1L,Weekly,5,500,30000,Low,High,Interested
23-27,20-50k,Daily,1,5000,10000,Medium,Low,Interested
18-22,<20k,Weekly,1,500,80000,High,Low,Interested
18-22,<20k,Daily,5,3000,10000,Medium,Medium,Interested
18-22,1L+,Occasional,3,5000,30000,High,High,Not Interested
28-35,20-50k,Weekly,2,5000,30000,Medium,Medium,Not Interested
23-27,50k-1L,Weekly,3,5000,30000,Low,High,Not Interested
18-22,20-50k,Daily,1,500,2000,Medium,High,Not Interested
36+,<20k,Weekly,5,5000,2000,Medium,Low,Not Interested
18-22,<20k,Daily,5,500,2000,Low,Medium,Interested
18-22,20-50k,Daily,3,500,10000,Medium,Low,Not Interested
28-35,20-50k,Daily,3,5000,30000,Low,Low,Interested
28-35,<20k,Weekly,2,1500,80000,High,Low,Interested
23-27,20-50k,Daily,4,1500,10000,Medium,High,Interested
36+,<20k,Daily,4,5000,10000,Low,Medium,Interested
28-35,20-50k,Occasional,2,1500,10000,Low,Medium,Not Interested
18-22,<20k,Daily,4,3000,80000,Medium,Low,Interested
23-27,50k-1L,Weekly,1,3000,30000,High,High,Interested
18-22,20-50k,Daily,4,500,2000,Medium,Medium,Interested
18-22,20-50k,Daily,2,1500,30000,Low,Medium,Interested
28-35,<20k,Weekly,4,3000,30000,High,Low,Interested
23-27,<20k,Daily,5,5000,10000,Medium,High,Interested
36+,20-50k,Daily,3,1500,10000,Low,Low,Not Interested
36+,20-50k,Weekly,1,3000,10000,Medium,Medium,Interested
28-35,20-50k,Weekly,5,3000,2000,High,High,Interested
28-35,<20k,Weekly,5,5000,2000,High,Low,Interested
23-27,20-50k,Daily,2,500,2000,High,Medium,Interested
36+,50k-1L,Daily,3,5000,30000,High,Low,Not Interested
36+,50k-1L,Weekly,3,500,10000,High,Low,Interested
36+,<20k,Weekly,1,3000,80000,Medium,Low,Not Interested
18-22,20-50k,Occasional,2,500,30000,High,High,Interested
36+,<20k,Occasional,1,3000,2000,High,Medium,Not Interested
18-22,<20k,Occasional,4,3000,80000,Low,Medium,Not Interested
23-27,1L+,Daily,5,1500,80000,High,Medium,Interested
18-22,<20k,Daily,1,500,10000,Low,Medium,Interested
23-27,20-50k,Weekly,5,500,80000,Low,High,Interested
36+,20-50k,Daily,2,500,2000,Low,Low,Not Interested
36+,50k-1L,Daily,4,5000,10000,Medium,Medium,Interested
23-27,20-50k,Occasional,2,1500,80000,Medium,High,Interested
28-35,<20k,Occasional,4,1500,10000,Low,Low,Not Interested
23-27,20-50k,Daily,4,1500,80000,Medium,High,Interested
28-35,20-50k,Daily,5,5000,30000,High,High,Interested
18-22,<20k,Daily,2,500,30000,Medium,Medium,Interested
18-22,20-50k,Occasional,2,500,2000,High,Medium,Interested
18-22,<20k,Occasional,1,500,30000,High,Low,Not Interested
36+,<20k,Daily,2,1500,30000,Medium,Low,Not Interested
18-22,20-50k,Daily,1,1500,30000,Medium,Medium,Not Interested
28-35,<20k,Occasional,3,3000,80000,Low,High,Not Interested
18-22,20-50k,Daily,3,5000,80000,Medium,Medium,Interested
23-27,20-50k,Weekly,3,5000,10000,Medium,Low,Interested
23-27,50k-1L,Occasional,2,1500,80000,Medium,High,Interested
36+,<20k,Daily,2,3000,30000,High,High,Not Interested
23-27,<20k,Weekly,1,500,80000,High,High,Interested
28-35,<20k,Daily,4,1500,2000,High,Medium,Interested
18-22,20-50k,Daily,1,5000,10000,Low,Medium,Interested
36+,50k-1L,Occasional,3,5000,10000,Low,Low,Not Interested
18-22,<20k,Daily,1,5000,80000,Low,High,Not Interested
18-22,1L+,Occasional,4,500,30000,High,High,Interested
28-35,<20k,Weekly,2,5000,10000,Medium,Medium,Interested
23-27,20-50k,Daily,1,500,2000,Low,Low,Not Interested
23-27,50k-1L,Daily,3,500,2000,Low,Low,Not Interested
18-22,50k-1L,Daily,3,500,10000,High,High,Not Interested
36+,50k-1L,Daily,2,1500,30000,Low,Medium,Not Interested
23-27,50k-1L,Daily,1,500,30000,Medium,High,Interested
36+,20-50k,Daily,4,3000,80000,High,Medium,Interested
23-27,50k-1L,Daily,2,5000,80000,High,Low,Interested
36+,<20k,Weekly,1,1500,10000,Medium,High,Not Interested
28-35,50k-1L,Weekly,5,5000,80000,Medium,High,Interested
36+,20-50k,Weekly,3,500,80000,Medium,High,Interested
28-35,50k-1L,Daily,4,1500,80000,Low,Low,Interested
28-35,20-50k,Daily,4,3000,2000,Medium,High,Interested
36+,20-50k,Weekly,4,500,80000,High,Low,Interested
28-35,20-50k,Daily,3,5000,10000,Medium,Medium,Interested
18-22,50k-1L,Daily,1,3000,30000,High,Low,Not Interested
28-35,<20k,Occasional,2,500,80000,High,Medium,Not Interested
23-27,<20k,Weekly,1,3000,30000,Low,Low,Not Interested
36+,<20k,Weekly,2,500,80000,Medium,Low,Interested
18-22,<20k,Daily,4,1500,10000,Low,High,Interested
36+,50k-1L,Weekly,1,500,2000,Medium,Low,Interested
23-27,<20k,Weekly,4,1500,10000,Medium,High,Interested
23-27,1L+,Weekly,5,500,2000,Medium,Medium,Not Interested
23-27,20-50k,Weekly,4,500,80000,Medium,Medium,Interested
28-35,<20k,Occasional,4,5000,80000,Medium,High,Interested
28-35,50k-1L,Weekly,2,3000,2000,High,Medium,Interested
36+,20-50k,Daily,5,3000,10000,High,Low,Interested
36+,20-50k,Weekly,4,3000,10000,Medium,High,Interested
18-22,20-50k,Weekly,4,500,2000,High,High,Not Interested
18-22,50k-1L,Weekly,5,500,80000,Low,High,Not Interested
36+,<20k,Daily,5,500,2000,Low,Medium,Interested
28-35,1L+,Daily,1,1500,80000,Low,Medium,Interested
23-27,1L+,Occasional,2,1500,2000,Medium,Low,Interested
36+,20-50k,Weekly,5,5000,80000,Medium,Low,Interested
18-22,<20k,Occasional,5,500,2000,High,High,Not Interested
28-35,20-50k,Weekly,3,3000,30000,High,Low,Not Interested
36+,<20k,Weekly,5,3000,80000,High,Medium,Not Interested
36+,<20k,Weekly,2,5000,10000,Low,Low,Not Interested
28-35,<20k,Occasional,4,3000,2000,Low,Medium,Not Interested
36+,20-50k,Weekly,4,5000,10000,Low,Low,Not Interested
28-35,50k-1L,Weekly,4,500,2000,Low,Medium,Not Interested
23-27,50k-1L,Daily,4,3000,10000,High,Medium,Interested
28-35,50k-1L,Daily,3,500,10000,Medium,Low,Not Interested
28-35,20-50k,Weekly,5,1500,2000,Medium,Low,Not Interested
28-35,20-50k,Daily,4,3000,2000,Low,Medium,Interested
36+,20-50k,Daily,1,1500,10000,Medium,High,Interested
36+,1L+,Daily,4,3000,10000,Medium,Low,Interested
28-35,<20k,Daily,5,500,10000,Medium,Medium,Interested
36+,50k-1L,Daily,4,5000,80000,Low,Low,Interested
18-22,20-50k,Daily,3,500,80000,High,Low,Not Interested
18-22,20-50k,Occasional,2,500,30000,High,Low,Not Interested
36+,50k-1L,Weekly,2,500,80000,Medium,Low,Interested
36+,20-50k,Daily,5,3000,80000,High,Low,Interested
28-35,50k-1L,Daily,2,5000,2000,High,High,Interested
23-27,1L+,Weekly,2,1500,30000,Low,High,Not Interested
36+,20-50k,Daily,1,500,30000,Low,High,Not Interested
18-22,<20k,Occasional,5,3000,80000,Medium,Medium,Interested
28-35,20-50k,Weekly,5,1500,2000,Medium,High,Interested
36+,1L+,Weekly,2,500,2000,Medium,High,Interested
18-22,<20k,Daily,2,1500,30000,Low,Medium,Interested
18-22,20-50k,Weekly,2,500,2000,High,High,Interested
23-27,20-50k,Daily,3,1500,10000,Low,Low,Interested
28-35,50k-1L,Occasional,4,1500,80000,Low,High,Not Interested
28-35,<20k,Weekly,3,5000,10000,High,High,Not Interested
23-27,50k-1L,Daily,5,5000,30000,High,High,Interested
23-27,1L+,Daily,1,500,30000,Medium,Low,Not Interested
28-35,<20k,Daily,4,3000,2000,High,Low,Interested
28-35,<20k,Weekly,1,5000,2000,High,Low,Not Interested
36+,1L+,Daily,5,1500,30000,High,Low,Interested
36+,<20k,Weekly,5,5000,30000,High,Medium,Interested
23-27,50k-1L,Daily,1,5000,10000,Medium,Low,Not Interested
36+,20-50k,Weekly,1,500,10000,Medium,Low,Interested
18-22,<20k,Occasional,1,5000,2000,High,Low,Interested
36+,50k-1L,Weekly,5,5000,10000,High,Low,Interested
36+,20-50k,Weekly,2,1500,2000,Medium,Medium,Not Interested
18-22,20-50k,Daily,1,5000,2000,Medium,High,Interested
23-27,20-50k,Daily,4,1500,80000,High,High,Interested
18-22,20-50k,Weekly,5,5000,2000,Low,Low,Not Interested
36+,<20k,Daily,3,5000,10000,Medium,Low,Not Interested
23-27,20-50k,Daily,3,3000,30000,Medium,Low,Interested
36+,1L+,Daily,4,5000,30000,Medium,High,Interested
18-22,<20k,Daily,2,1500,10000,High,High,Interested
18-22,20-50k,Daily,1,1500,30000,High,Low,Not Interested
36+,20-50k,Occasional,5,500,2000,Medium,High,Not Interested
28-35,50k-1L,Daily,1,500,30000,High,Medium,Interested
28-35,<20k,Weekly,5,3000,10000,High,Low,Not Interested
18-22,1L+,Daily,3,1500,30000,Medium,Low,Interested
18-22,20-50k,Weekly,1,1500,2000,High,Medium,Interested
28-35,<20k,Daily,4,1500,2000,Low,Medium,Interested
28-35,<20k,Occasional,2,3000,10000,High,High,Not Interested
36+,<20k,Occasional,4,1500,10000,High,Medium,Interested
36+,20-50k,Daily,2,500,10000,Medium,Low,Not Interested
28-35,20-50k,Occasional,1,3000,80000,Medium,High,Interested
36+,50k-1L,Occasional,1,500,80000,Low,Medium,Interested
36+,20-50k,Occasional,2,500,2000,High,High,Not Interested
23-27,<20k,Occasional,3,3000,80000,Low,High,Interested
36+,20-50k,Daily,5,5000,80000,Low,High,Interested
18-22,50k-1L,Weekly,4,5000,30000,Medium,High,Interested
36+,<20k,Daily,4,500,80000,High,Medium,Interested
36+,<20k,Daily,4,5000,30000,Medium,Low,Interested
28-35,<20k,Occasional,1,1500,10000,Low,Low,Interested
18-22,50k-1L,Daily,4,3000,30000,Low,Medium,Interested
36+,20-50k,Weekly,5,500,30000,Medium,Low,Not Interested
36+,20-50k,Occasional,5,1500,10000,Medium,High,Interested
23-27,50k-1L,Occasional,2,5000,10000,Medium,High,Not Interested
36+,50k-1L,Occasional,1,1500,2000,Medium,High,Interested
36+,20-50k,Daily,5,5000,2000,Medium,Medium,Interested
23-27,50k-1L,Daily,3,500,2000,Low,High,Interested
28-35,<20k,Daily,1,1500,2000,Medium,High,Interested
36+,<20k,Daily,1,3000,30000,High,Medium,Interested
23-27,<20k,Daily,5,500,30000,Low,High,Interested
18-22,<20k,Daily,3,1500,2000,Low,High,Not Interested
28-35,20-50k,Weekly,2,1500,80000,High,Low,Interested
18-22,1L+,Weekly,5,5000,2000,High,Medium,Not Interested
18-22,<20k,Daily,3,500,80000,Low,High,Interested
23-27,<20k,Weekly,1,500,10000,Medium,High,Not Interested
36+,20-50k,Daily,3,500,30000,Low,High,Interested
23-27,1L+,Daily,1,500,30000,Low,High,Not Interested
23-27,20-50k,Weekly,5,5000,80000,High,Low,Not Interested
23-27,20-50k,Weekly,5,3000,2000,Low,Low,Interested
23-27,<20k,Weekly,4,500,30000,Medium,Low,Interested
28-35,<20k,Daily,4,5000,80000,High,Low,Interested
36+,1L+,Occasional,4,3000,10000,Low,Medium,Not Interested
18-22,1L+,Weekly,5,3000,10000,Low,High,Not Interested
18-22,<20k,Weekly,2,5000,30000,Medium,Low,Not Interested
36+,1L+,Weekly,5,500,2000,Low,High,Not Interested
18-22,20-50k,Occasional,3,3000,80000,Low,Medium,Interested
36+,50k-1L,Weekly,5,500,30000,Low,High,Interested
18-22,20-50k,Weekly,5,500,10000,Low,High,Interested
23-27,20-50k,Occasional,1,1500,2000,Medium,Low,Interested
18-22,20-50k,Weekly,1,500,80000,Low,Low,Not Interested
36+,20-50k,Daily,1,1500,30000,Low,Medium,Not Interested
36+,<20k,Weekly,5,3000,80000,Low,High,Interested
36+,<20k,Daily,2,5000,2000,High,Low,Not Interested
36+,20-50k,Daily,3,1500,2000,Medium,Low,Interested
36+,50k-1L,Weekly,3,5000,10000,High,Low,Not Interested
28-35,<20k,Occasional,2,3000,2000,High,Medium,Not Interested
